Title,Price,Rating,Reviews,Seller,Discount,InStock,URL
"Latest AirPods Pro 2nd Generation Titanium Black Buzzer Edition, Wireless Earbuds, Bluetooth 5.0, Premium Quality and Sound",1151,0.0,0,City Mall..,45% Off,True,https://www.daraz.pk/products/latest-airpods-pro-2nd-generation-titanium-black-buzzer-edition-wireless-earbuds-bluetooth-50-premium-quality-and-sound-i1951578469.html
"M10 & M90 TWS Airpods _ with Super Sound & High Quality Touch Sensors True Stereo Headphones with Built in Mic 10m Transmission Bluetooth Wireless Earbuds , Charging Case Sport Headset for all Bluetooth Smart devices.",450,0.0,0,Trendy Basket,No Discount,True,https://www.daraz.pk/products/m10-m90-tws-_-10m-i1951712716.html
M10 Earbuds 3500 mah - M10 Tws Wireless Earbuds - Airpods M10 - Ear buds M10 - M10 Airpods - M 10 Earbuds - Tws Earbuds - Super Sound & Stereo Headphones Bluetooth Wireless Earbuds - Airpods Pro,601,4.2,190,NOVA TECH 1,70% Off,True,https://www.daraz.pk/products/m10-earbuds-3500-mah-m10-tws-wireless-earbuds-airpods-m10-ear-buds-m10-m10-airpods-m-10-earbuds-tws-earbuds-super-sound-stereo-headphones-bluetooth-wireless-earbuds-airpods-pro-i413820426.html
"Model Bazaar M10 TWS Airpods _ with Super Sound & High Quality Touch Sensors True Stereo Headphones with Built in Mic 10m Transmission Bluetooth Wireless Earbuds , Sport Headset for all Bluetooth Smart devices.",789,4.6,495,Model Bazaar(Lahore),61% Off,True,https://www.daraz.pk/products/model-bazaar-m10-tws-airpods-_-with-super-sound-high-quality-touch-sensors-true-stereo-headphones-with-built-in-mic-10m-transmission-bluetooth-wireless-earbuds-sport-headset-for-all-bluetooth-smart-devices-i345240840.html
"Airpods_Pro_Wireless Earbuds Bluetooth 5.0, Super Sound Bass, Charging Case and Extra Ear-Buds, Pop-Up Feature Compatible with All Devices Premium Quality",695,5.0,26,my virtual Mall ,77% Off,True,https://www.daraz.pk/products/50-i715678487.html
"Airpods_Pro Wireless Earbuds Bluetooth 5.2, Super Extra Bass, Charging Case, Pop-up Feature Compatible With All Devices",749,4.2,2200,Haram Collection Lahore,70% Off,True,https://www.daraz.pk/products/52-i477961862.html
Air 31 Airpods - Air31 Earbuds Wireless Earbuds - Air 31 Earbuds - Transparent Airpods Air 31 - Transparent Earbuds Air 31 TWS Earbuds - Airbuds - Earpods - Ear Buds Wireless - Air Buds - Bluetooth Earphones,629,5.0,9,Air tech 2,69% Off,True,https://www.daraz.pk/products/air-31-airpods-air31-earbuds-wireless-earbuds-air-31-earbuds-transparent-airpods-air-31-transparent-earbuds-air-31-tws-earbuds-airbuds-earpods-ear-buds-wireless-air-buds-bluetooth-earphones-i944462806.html
Airpods i7s _ Mini TWS Bluetooth Earphones   |   Sports Wireless Earbuds   |   Headset Stereo Headphone With Mic Charging Box,699,4.6,45,R-Bee Mega Store,36% Off,True,https://www.daraz.pk/products/i7s-tws-i362231854.html
Airpods_pro 2nd Generation White | With Free Type C Data Cable | Stereo Sound Earpods | Wireless Earbuds | Bluetooth Earpods,549,5.0,3,Tec By AA,81% Off,True,https://www.daraz.pk/products/2nd-c-i1947918485.html
Air 31 Airpods - Air31 Earbuds Wireless Earbuds - Air 31 Earbuds - Transparent Airpods Air 31 - Transparent Earbuds Air 31 TWS Earbuds - Airbuds - Earpods - Ear Buds Wireless - Bluetooth Earphones - Air buds,600,4.6,42,DigiNex,70% Off,True,https://www.daraz.pk/products/31-31-31-31-31-i917806762.html
